newLevelId,sourceLevelId,largeGroup,largeGroupRange,smallGroup,smallGroupInLarge,smallGroupRange,smallSlot,role,complexityScore,difficultyTier,generatedName,category,filled,colors,scoreRank,smallGroupAvgScore,largeGroupAvgScore,challengeDeltaVsSetupAvg,note
259,143,4,251-300,32,2,256-260,4,setup_4,80.92,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,396,10,156,81.17,83.15,,setup slot: keeps local average controlled
260,106,4,251-300,32,2,256-260,5,challenge,82.59,专家,中型高彩碎色拼贴图,纹样/碎色马赛克,709,10,173,81.17,83.15,1.77,challenge slot: harder than the four setup levels
261,134,4,251-300,33,3,261-265,1,setup_1,80.95,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,411,9,157,81.67,83.15,,setup slot: keeps local average controlled
262,273,4,251-300,33,3,261-265,2,setup_2,81.22,专家,中型多色环形纹章,纹样/环形纹章,667,6,159,81.67,83.15,,setup slot: keeps local average controlled
263,346,4,251-300,33,3,261-265,3,setup_3,81.32,专家,中型多色竖幅立像,构图/竖幅立像,768,8,160,81.67,83.15,,setup slot: keeps local average controlled
264,231,4,251-300,33,3,261-265,4,setup_4,81.43,专家,中型多色普通拼豆图,图案/普通拼豆图,778,6,161,81.67,83.15,,setup slot: keeps local average controlled
265,342,4,251-300,33,3,261-265,5,challenge,83.43,专家,大型多色简笔轮廓,图标/简笔轮廓,923,5,178,81.67,83.15,2.2,challenge slot: harder than the four setup levels
266,144,4,251-300,34,4,266-270,1,setup_1,81.44,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,625,12,162,82.14,83.15,,setup slot: keeps local average controlled
267,251,4,251-300,34,4,266-270,2,setup_2,81.76,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,535,9,164,82.14,83.15,,setup slot: keeps local average controlled
268,264,4,251-300,34,4,266-270,3,setup_3,81.79,专家,中型多色镂空对称图腾,纹样/镂空图腾,550,7,165,82.14,83.15,,setup slot: keeps local average controlled
269,318,4,251-300,34,4,266-270,4,setup_4,81.81,专家,中型多色环形纹章,纹样/环形纹章,821,7,166,82.14,83.15,,setup slot: keeps local average controlled
270,136,4,251-300,34,4,266-270,5,challenge,83.88,专家,超大型高彩双轴对称图腾,纹样/双轴对称图腾,2025,10,183,82.14,83.15,2.18,challenge slot: harder than the four setup levels
271,343,4,251-300,35,5,271-275,1,setup_1,81.83,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,756,10,167,82.7,83.15,,setup slot: keeps local average controlled
272,270,4,251-300,35,5,271-275,2,setup_2,82.18,专家,中型高彩环形纹章,纹样/环形纹章,698,9,169,82.7,83.15,,setup slot: keeps local average controlled
273,208,4,251-300,35,5,271-275,3,setup_3,82.42,专家,中型高彩左右对称徽章,纹样/左右对称徽章,686,9,170,82.7,83.15,,setup slot: keeps local average controlled
274,147,4,251-300,35,5,271-275,4,setup_4,82.46,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,600,9,171,82.7,83.15,,setup slot: keeps local average controlled
275,185,4,251-300,35,5,271-275,5,challenge,84.63,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,552,9,188,82.7,83.15,2.41,challenge slot: harder than the four setup levels
276,123,4,251-300,36,6,276-280,1,setup_1,82.54,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,576,10,172,83.44,83.15,,setup slot: keeps local average controlled
277,110,4,251-300,36,6,276-280,2,setup_2,82.59,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,519,10,174,83.44,83.15,,setup slot: keeps local average controlled
278,279,4,251-300,36,6,276-280,3,setup_3,83.29,专家,中型多色左右对称徽章,纹样/左右对称徽章,513,8,175,83.44,83.15,,setup slot: keeps local average controlled
279,129,4,251-300,36,6,276-280,4,setup_4,83.38,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,625,10,176,83.44,83.15,,setup slot: keeps local average controlled
280,161,4,251-300,36,6,276-280,5,challenge,85.4,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1050,11,193,83.44,83.15,2.45,challenge slot: harder than the four setup levels
281,311,4,251-300,37,7,281-285,1,setup_1,83.42,专家,大型多色左右对称徽章,纹样/左右对称徽章,1258,8,177,84.0,83.15,,setup slot: keeps local average controlled
282,135,4,251-300,37,7,281-285,2,setup_2,83.46,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,625,13,179,84.0,83.15,,setup slot: keeps local average controlled
283,150,4,251-300,37,7,281-285,3,setup_3,83.57,专家,小型高彩碎色拼贴图,纹样/碎色马赛克,335,13,180,84.0,83.15,,setup slot: keeps local average controlled
284,338,4,251-300,37,7,281-285,4,setup_4,83.59,专家,大型多色双轴对称图腾,纹样/双轴对称图腾,1406,8,181,84.0,83.15,,setup slot: keeps local average controlled
285,209,4,251-300,37,7,281-285,5,challenge,85.94,专家,大型多色普通拼豆图,图案/普通拼豆图,909,8,198,84.0,83.15,2.43,challenge slot: harder than the four setup levels
286,204,4,251-300,38,8,286-290,1,setup_1,83.61,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,540,8,182,84.52,83.15,,setup slot: keeps local average controlled
287,200,4,251-300,38,8,286-290,2,setup_2,84.12,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1440,9,184,84.52,83.15,,setup slot: keeps local average controlled
288,317,4,251-300,38,8,286-290,3,setup_3,84.13,专家,中型高彩左右对称徽章,纹样/左右对称徽章,623,11,185,84.52,83.15,,setup slot: keeps local average controlled
289,266,4,251-300,38,8,286-290,4,setup_4,84.22,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,696,9,186,84.52,83.15,,setup slot: keeps local average controlled
290,267,4,251-300,38,8,286-290,5,challenge,86.52,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,810,6,203,84.52,83.15,2.5,challenge slot: harder than the four setup levels
291,310,4,251-300,39,9,291-295,1,setup_1,84.22,专家,大型多色左右对称徽章,纹样/左右对称徽章,1217,7,187,85.18,83.15,,setup slot: keeps local average controlled
292,175,4,251-300,39,9,291-295,2,setup_2,84.72,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,744,10,189,85.18,83.15,,setup slot: keeps local average controlled
293,238,4,251-300,39,9,291-295,3,setup_3,84.75,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,484,9,190,85.18,83.15,,setup slot: keeps local average controlled
294,157,4,251-300,39,9,291-295,4,setup_4,85.32,专家,大型多色普通拼豆图,图案/普通拼豆图,1414,8,191,85.18,83.15,,setup slot: keeps local average controlled
295,235,4,251-300,39,9,291-295,5,challenge,86.91,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,756,11,208,85.18,83.15,2.16,challenge slot: harder than the four setup levels
296,280,4,251-300,40,10,296-300,1,setup_1,85.35,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,783,5,192,85.94,83.15,,setup slot: keeps local average controlled
297,221,4,251-300,40,10,296-300,2,setup_2,85.52,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,600,9,194,85.94,83.15,,setup slot: keeps local average controlled
298,281,4,251-300,40,10,296-300,3,setup_3,85.74,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,812,11,195,85.94,83.15,,setup slot: keeps local average controlled
299,288,4,251-300,40,10,296-300,4,setup_4,85.75,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,864,9,196,85.94,83.15,,setup slot: keeps local average controlled
300,187,4,251-300,40,10,296-300,5,challenge,87.36,专家,中型高彩普通拼豆图,图案/普通拼豆图,785,9,213,85.94,83.15,1.77,challenge slot: harder than the four setup levels
301,283,5,301-350,41,1,301-305,1,setup_1,85.82,专家,中型高彩左右对称徽章,纹样/左右对称徽章,581,9,197,86.44,90.75,,setup slot: keeps local average controlled
302,278,5,301-350,41,1,301-305,2,setup_2,85.94,专家,大型多色双轴对称图腾,纹样/双轴对称图腾,968,8,199,86.44,90.75,,setup slot: keeps local average controlled
303,224,5,301-350,41,1,301-305,3,setup_3,86.11,专家,大型多色环形纹章（左右对称）,纹样/环形纹章,1652,6,200,86.44,90.75,,setup slot: keeps local average controlled
304,243,5,301-350,41,1,301-305,4,setup_4,86.13,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,775,7,201,86.44,90.75,,setup slot: keeps local average controlled
305,315,5,301-350,41,1,301-305,5,challenge,88.22,专家,大型多色纵向拼豆图,图案/普通拼豆图,1706,8,218,86.44,90.75,2.22,challenge slot: harder than the four setup levels
306,298,5,301-350,42,2,306-310,1,setup_1,86.48,专家,中型多色碎色拼贴图,纹样/碎色马赛克,850,7,202,87.26,90.75,,setup slot: keeps local average controlled
307,210,5,301-350,42,2,306-310,2,setup_2,86.6,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,526,12,204,87.26,90.75,,setup slot: keeps local average controlled
308,222,5,301-350,42,2,306-310,3,setup_3,86.67,专家,大型多色双轴对称图腾,纹样/双轴对称图腾,1480,7,205,87.26,90.75,,setup slot: keeps local average controlled
309,230,5,301-350,42,2,306-310,4,setup_4,86.75,专家,大型高彩双轴对称图腾,纹样/双轴对称图腾,1225,9,206,87.26,90.75,,setup slot: keeps local average controlled
310,186,5,301-350,42,2,306-310,5,challenge,89.82,专家,大型高彩对称拼豆图,图案/普通拼豆图,1139,10,223,87.26,90.75,3.19,challenge slot: harder than the four setup levels
311,189,5,301-350,43,3,311-315,1,setup_1,86.85,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,784,8,207,87.84,90.75,,setup slot: keeps local average controlled
312,234,5,301-350,43,3,311-315,2,setup_2,86.99,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,841,9,209,87.84,90.75,,setup slot: keeps local average controlled
313,236,5,301-350,43,3,311-315,3,setup_3,87.08,专家,中型高彩碎色拼贴图,纹样/碎色马赛克,725,9,210,87.84,90.75,,setup slot: keeps local average controlled
314,316,5,301-350,43,3,311-315,4,setup_4,87.19,专家,大型多色左右对称徽章,纹样/左右对称徽章,1097,7,211,87.84,90.75,,setup slot: keeps local average controlled
315,155,5,301-350,43,3,311-315,5,challenge,91.08,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,1640,11,228,87.84,90.75,4.05,challenge slot: harder than the four setup levels
316,113,5,301-350,44,4,316-320,1,setup_1,87.25,专家,大型高彩左右对称徽章,纹样/左右对称徽章,934,10,212,88.5,90.75,,setup slot: keeps local average controlled
317,337,5,301-350,44,4,316-320,2,setup_2,87.4,专家,中型高彩环形纹章（左右对称）,纹样/环形纹章,557,10,214,88.5,90.75,,setup slot: keeps local average controlled
318,203,5,301-350,44,4,316-320,3,setup_3,87.59,专家,中型多色双轴对称图腾,纹样/双轴对称图腾,812,7,215,88.5,90.75,,setup slot: keeps local average controlled
319,159,5,301-350,44,4,316-320,4,setup_4,88.03,专家,超大型多色双轴对称图腾,纹样/双轴对称图腾,2160,7,216,88.5,90.75,,setup slot: keeps local average controlled
320,205,5,301-350,44,4,316-320,5,challenge,92.22,超高压,大型多色环形纹章,纹样/环形纹章,1663,6,233,88.5,90.75,4.65,challenge slot: harder than the four setup levels
321,291,5,301-350,45,5,321-325,1,setup_1,88.13,专家,超大型多色双轴对称图腾,纹样/双轴对称图腾,2067,7,217,89.64,90.75,,setup slot: keeps local average controlled
322,196,5,301-350,45,5,321-325,2,setup_2,88.43,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,841,9,219,89.64,90.75,,setup slot: keeps local average controlled
323,177,5,301-350,45,5,321-325,3,setup_3,88.82,专家,超大型多色双轴对称图腾,纹样/双轴对称图腾,2352,6,220,89.64,90.75,,setup slot: keeps local average controlled
324,214,5,301-350,45,5,321-325,4,setup_4,88.98,专家,中型高彩双轴对称图腾,纹样/双轴对称图腾,812,11,221,89.64,90.75,,setup slot: keeps local average controlled
325,347,5,301-350,45,5,321-325,5,challenge,93.82,超高压,大型高彩对称拼豆图,图案/普通拼豆图,1141,9,238,89.64,90.75,5.23,challenge slot: harder than the four setup levels
326,350,5,301-350,46,6,326-330,1,setup_1,89.15,专家,大型多色纵向拼豆图,图案/普通拼豆图,1229,7,222,90.81,90.75,,setup slot: keeps local average controlled
327,101,5,301-350,46,6,326-330,2,setup_2,89.87,专家,中型高彩环形纹章（左右对称）,纹样/环形纹章,850,9,224,90.81,90.75,,setup slot: keeps local average controlled
328,164,5,301-350,46,6,326-330,3,setup_3,90.05,超高压,大型多色双轴对称图腾,纹样/双轴对称图腾,1575,8,225,90.81,90.75,,setup slot: keeps local average controlled
329,249,5,301-350,46,6,326-330,4,setup_4,90.16,超高压,中型高彩双轴对称图腾,纹样/双轴对称图腾,832,10,226,90.81,90.75,,setup slot: keeps local average controlled
330,176,5,301-350,46,6,326-330,5,challenge,94.83,超高压,超大型高彩双轴对称图腾,纹样/双轴对称图腾,2400,10,243,90.81,90.75,5.02,challenge slot: harder than the four setup levels
331,156,5,301-350,47,7,331-335,1,setup_1,90.96,超高压,大型高彩对称拼豆图,图案/普通拼豆图,1549,9,227,92.43,90.75,,setup slot: keeps local average controlled
332,322,5,301-350,47,7,331-335,2,setup_2,91.19,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,1406,12,229,92.43,90.75,,setup slot: keeps local average controlled
333,184,5,301-350,47,7,331-335,3,setup_3,91.49,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,1508,11,230,92.43,90.75,,setup slot: keeps local average controlled
334,297,5,301-350,47,7,331-335,4,setup_4,91.49,超高压,中型多色普通拼豆图,图案/普通拼豆图,892,8,231,92.43,90.75,,setup slot: keeps local average controlled
335,216,5,301-350,47,7,331-335,5,challenge,97.02,超高压,大型高彩环形纹章,纹样/环形纹章,1242,10,248,92.43,90.75,5.74,challenge slot: harder than the four setup levels
336,296,5,301-350,48,8,336-340,1,setup_1,91.6,超高压,中型高彩对称拼豆图,图案/普通拼豆图,798,10,232,94.4,90.75,,setup slot: keeps local average controlled
337,348,5,301-350,48,8,336-340,2,setup_2,92.3,超高压,超大型多色双轴对称图腾,纹样/双轴对称图腾,1840,8,234,94.4,90.75,,setup slot: keeps local average controlled
338,244,5,301-350,48,8,336-340,3,setup_3,92.61,超高压,中型高彩双轴对称图腾,纹样/双轴对称图腾,784,10,235,94.4,90.75,,setup slot: keeps local average controlled
339,345,5,301-350,48,8,336-340,4,setup_4,92.94,超高压,大型高彩满版色块图,构图/满版色块,941,9,236,94.4,90.75,,setup slot: keeps local average controlled
340,163,5,301-350,48,8,336-340,5,challenge,102.55,超高压,超大型高彩左右对称徽章,纹样/左右对称徽章,1948,11,250,94.4,90.75,10.19,challenge slot: harder than the four setup levels
341,223,5,301-350,49,9,341-345,1,setup_1,92.98,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,1249,11,237,94.61,90.75,,setup slot: keeps local average controlled
342,258,5,301-350,49,9,341-345,2,setup_2,94.06,超高压,大型高彩环形纹章,纹样/环形纹章,1144,9,239,94.61,90.75,,setup slot: keeps local average controlled
343,227,5,301-350,49,9,341-345,3,setup_3,94.27,超高压,超大型高彩双轴对称图腾,纹样/双轴对称图腾,1806,9,240,94.61,90.75,,setup slot: keeps local average controlled
344,199,5,301-350,49,9,341-345,4,setup_4,94.53,超高压,超大型多色环形纹章,纹样/环形纹章,2084,7,241,94.61,90.75,,setup slot: keeps local average controlled
345,302,5,301-350,49,9,341-345,5,challenge,97.22,超高压,大型高彩满版色块图,构图/满版色块,1754,10,249,94.61,90.75,3.26,challenge slot: harder than the four setup levels
346,169,5,301-350,50,10,346-350,1,setup_1,94.69,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,1596,12,242,95.58,90.75,,setup slot: keeps local average controlled
347,321,5,301-350,50,10,346-350,2,setup_2,95.36,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,957,11,244,95.58,90.75,,setup slot: keeps local average controlled
348,202,5,301-350,50,10,346-350,3,setup_3,95.49,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,1125,11,245,95.58,90.75,,setup slot: keeps local average controlled
349,289,5,301-350,50,10,346-350,4,setup_4,95.6,超高压,大型高彩左右对称徽章,纹样/左右对称徽章,1329,9,246,95.58,90.75,,setup slot: keeps local average controlled
350,197,5,301-350,50,10,346-350,5,challenge,96.74,超高压,大型高彩双轴对称图腾,纹样/双轴对称图腾,1406,12,247,95.58,90.75,1.45,challenge slot: harder than the four setup levels
